video,frame,sports_ball_positions,LEFT_SHOULDER_vel,RIGHT_SHOULDER_vel,LEFT_SHOULDER_acc,RIGHT_SHOULDER_acc,LEFT_ELBOW_vel,RIGHT_ELBOW_vel,LEFT_ELBOW_acc,RIGHT_ELBOW_acc,LEFT_WRIST_vel,RIGHT_WRIST_vel,LEFT_WRIST_acc,RIGHT_WRIST_acc,LEFT_HIP_vel,RIGHT_HIP_vel,LEFT_HIP_acc,RIGHT_HIP_acc,NOSE_pos_x,NOSE_pos_y,LEFT_SHOULDER_pos_x,LEFT_SHOULDER_pos_y,RIGHT_SHOULDER_pos_x,RIGHT_SHOULDER_pos_y,LEFT_ELBOW_pos_x,LEFT_ELBOW_pos_y,RIGHT_ELBOW_pos_x,RIGHT_ELBOW_pos_y,LEFT_WRIST_pos_x,LEFT_WRIST_pos_y,RIGHT_WRIST_pos_x,RIGHT_WRIST_pos_y,LEFT_HIP_pos_x,LEFT_HIP_pos_y,RIGHT_HIP_pos_x,RIGHT_HIP_pos_y,LEFT_ELBOW_LEFT_SHOULDER_LEFT_WRIST_angle,RIGHT_ELBOW_RIGHT_SHOULDER_RIGHT_WRIST_angle,LEFT_SHOULDER_LEFT_HIP_LEFT_ELBOW_angle,RIGHT_SHOULDER_RIGHT_HIP_RIGHT_ELBOW_angle,is_shot,shot_id,shot_invalid,make
long_vid.mov,26,"101.1,128.42",98.71,121.61,-57.86,344.05,120.96,131.45,-1411.29,382.63,468.27,138.86,-2879.71,-892.55,37.71,37.71,366.46,366.46,53.15,-305.28,84.93,-205.82,-62.03,-231.6,83.54,-96.99,-78.03,-111.96,86.56,-8.92,-15.21,-79.89,35.05,3.45,-35.05,-3.45,177.31,109.42,12.68,14.36,0,0,0,
long_vid.mov,27,"105.29,171.02",189.14,177.26,4983.33,3066.34,234.48,188.01,6255.93,3116.67,570.17,215.22,5615.77,4207.97,45.38,45.38,422.49,422.49,54.12,-299.62,85.3,-200.54,-61.18,-227.53,84.71,-90.61,-76.96,-107.98,90.73,4.96,-13.79,-74.08,34.3,4.01,-34.3,-4.01,176.08,110.71,13.69,14.38,0,0,0,
long_vid.mov,28,"110.01,212.64",172.92,117.02,-893.84,-3319.47,230.7,120.86,-208.31,-3700.62,621.95,211.89,2853.07,-183.32,37.88,37.88,-413.49,-413.49,54.92,-296.17,84.99,-198.39,-60.73,-226.26,85.5,-86.72,-76.68,-106.85,95.21,13.17,-11.98,-72.03,33.71,4.15,-33.71,-4.15,174.71,110.68,14.47,14.54,0,0,0,
long_vid.mov,29,"112.73,258.7",157.13,104.89,-869.77,-668.45,245.9,100.46,837.26,-1124.18,574.34,182.38,-2623.65,-1626.21,32.7,32.7,-285.09,-285.09,55.42,-294.22,84.23,-197.61,-60.86,-226.41,87.25,-84.37,-76.82,-106.72,97.95,20.06,-11.1,-71.2,33.59,4.35,-33.59,-4.35,175.68,110.8,15.6,14.59,0,0,0,
long_vid.mov,30,"117.06,301.26",82.68,44.13,-4103.09,-3348.12,165.45,44.77,-4432.99,-3068.91,411.03,101.85,-8999.16,-4437.95,18.99,18.99,-755.52,-755.52,55.75,-292.15,83.65,-196.52,-61.01,-225.57,88.75,-82.88,-77.07,-105.67,100.02,25.28,-10.14,-69.92,33.71,4.5,-33.71,-4.5,176.62,110.48,16.52,14.67,0,0,0,
long_vid.mov,31,"122.89,348.24",87.04,65.22,240.26,1161.84,158.08,70.08,-406.32,1394.94,345.87,125.56,-3591.14,1306.59,15.62,15.62,-186.08,-186.08,57.4,-288.41,84.03,-194.13,-60.3,-223.18,91.21,-80.31,-76.3,-103.25,101.98,30.73,-8.26,-66.36,34.08,4.28,-34.08,-4.28,178.07,110.87,17.74,14.43,0,0,0,
long_vid.mov,32,"122.07,340.41",71.44,67.14,-859.67,105.81,138.89,71.93,-1057.69,101.77,257.09,139.58,-4892.4,772.6,13.01,13.01,-143.64,-143.64,58.9,-286.77,83.98,-193.9,-60.41,-222.89,93.02,-79.78,-76.19,-102.98,104.09,32.23,-6.76,-65.08,34.14,4.34,-34.14,-4.34,178.89,111.13,18.64,14.35,0,0,0,
long_vid.mov,33,"120.96,305.81",54.07,56.38,-957.03,-592.95,113.96,56.83,-1373.63,-831.75,177.23,132.19,-4400.48,-407.24,11.73,11.73,-70.35,-70.35,59.3,-286.51,84.01,-194.19,-60.35,-223.16,93.77,-79.91,-76.16,-103.24,105.35,32.13,-5.57,-65.01,34.03,4.28,-34.03,-4.28,178.98,110.92,19.01,14.37,0,0,0,
long_vid.mov,34,0,21.9,15.69,-1772.79,-2242.12,61.24,20.56,-2905.06,-1998.91,123.66,72.59,-2952.27,-3284.38,6.09,6.09,-311.17,-311.17,59.3,-286.79,84.0,-194.85,-60.39,-223.43,94.24,-80.41,-76.72,-103.34,107.65,30.39,-4.8,-64.85,34.01,4.17,-34.01,-4.17,178.22,110.41,19.21,14.61,0,0,0,
long_vid.mov,35,"119.72,242.45",36.62,21.89,810.99,341.85,55.89,27.5,-294.82,382.63,137.22,56.15,747.44,-905.78,8.31,8.31,122.34,122.34,59.89,-286.76,84.89,-195.38,-59.75,-223.46,95.77,-80.86,-77.28,-103.7,109.37,27.55,-3.87,-65.39,33.8,4.18,-33.8,-4.18,178.28,109.23,19.79,15.08,0,0,0,
long_vid.mov,36,"119.43,214.31",42.22,29.66,308.6,428.18,70.29,35.12,793.18,419.73,167.95,63.35,1693.44,396.59,9.4,9.4,60.07,60.07,60.44,-286.83,85.44,-195.62,-59.24,-222.99,97.29,-81.1,-77.45,-103.05,111.02,25.11,-2.34,-64.96,33.98,4.18,-33.98,-4.18,178.55,108.26,20.35,15.22,0,0,0,
long_vid.mov,37,"119.52,186.17",48.23,42.11,331.56,686.08,95.45,48.58,1386.5,741.92,180.1,90.96,669.37,1521.87,9.03,9.03,-20.02,-20.02,61.35,-286.81,86.4,-195.85,-58.46,-222.45,99.34,-81.34,-76.91,-101.86,114.27,23.72,-0.59,-63.49,34.01,4.09,-34.01,-4.09,178.36,108.0,21.13,15.09,0,0,0,
long_vid.mov,38,"119.22,159.78",39.06,36.2,-505.7,-326.05,79.28,56.71,-890.71,447.84,181.5,104.19,77.33,728.7,14.93,14.93,324.76,324.76,61.55,-287.3,86.61,-196.35,-58.33,-222.15,99.6,-82.01,-76.71,-100.77,116.53,21.18,0.48,-62.04,34.14,3.57,-34.14,-3.57,177.16,108.04,21.19,14.92,0,0,0,
long_vid.mov,39,"119.56,136.32",70.84,56.4,1751.49,1113.34,111.74,55.39,1788.41,-72.74,376.86,88.6,10765.52,-858.75,21.02,21.02,335.97,335.97,61.78,-289.54,86.43,-198.67,-58.38,-223.95,99.51,-85.31,-76.73,-101.37,118.33,7.73,1.04,-62.51,34.1,3.06,-34.1,-3.06,175.15,108.04,21.13,14.78,0,0,0,
long_vid.mov,40,"118.6,108.68",142.55,127.43,3951.54,3914.07,170.57,96.95,3242.31,2290.06,516.2,103.48,7678.61,819.99,24.25,24.25,178.0,178.0,61.82,-294.68,85.99,-203.54,-58.27,-228.77,98.67,-90.51,-75.28,-104.63,123.41,-2.18,2.58,-65.2,34.14,2.79,-34.14,-2.79,170.75,109.06,20.5,13.9,0,0,0,
